x, y
0.8705255284007404, 222.82407127327954
2.1912418167001793, 203.49354369797976
3.776100475948405, 183.60490337400648
5.757172691619805, 171.7839320417813
8.530676453693076, 166.66539142686125
11.43625140124074, 164.66093667194323
14.870111090685972, 164.66093667194323
16.322898564459805, 148.56763913844824
18.56811315107999, 134.86068876894535
20.6812609857813, 129.26868397464915
23.190617943350276, 126.94367294284874
25.567908149000374, 126.94367294284874
28.60555871557795, 131.63627827328483
29.662128199373083, 122.41832600298778
30.982848921228058, 111.79825123560862
32.96392113689946, 105.23511906980255
35.34121134254955, 102.7190529561444
37.85056830011852, 102.7190529561444
40.35992525768748, 105.87370696067933
42.605148711418714, 109.12526721671304
44.05793618519254, 100.2631230963797
45.37864803993646, 92.12069900074752
48.02008061653534, 88.30092782279489
50.7935799450531, 87.23893069189293
53.69915489260077, 91.01277988474156
56.86887221109722, 96.10572750592765
58.585802055819826, 85.66986175713917
61.359310251448626, 77.76590265758723
64.92524555992377, 78.71256454657588
68.22702963033909, 83.11720935439966
70.86846220693796, 87.23893069189293
72.84953442260937, 77.29684980975705
75.22682462825948, 72.32027331925242
78.26447519483705, 72.32027331925242
80.77383215240602, 75.9065825323339
83.0190467390262, 79.67075036445155
84.60390096471889, 83.11720935439966
86.32083967655255, 74.09173230171352
88.69812988220266, 69.32150978914062
91.47163807783146, 69.32150978914062
93.58477704542173, 71.01951514168742
95.83000049915294, 75.9065825323339
98.60349096055965, 79.67075036445155
100.58456317623106, 71.88405173242323
102.69771987804343, 67.66410204094983
105.33914358753127, 66.44709012965872
107.84850054510022, 70.59115380734524
110.75407549264787, 75.9065825323339
113.13136569829798, 81.12994379422226
115.37658915202921, 85.15313538661992
117.8859461095982, 91.01277988474156
