x, y
0, 1003.6848890951014
3.0143547471180745, 8198.56859416719
7.3205716842307345, 7787.06554558207
12.057414169906957, 7288.1921649087035
12.057414169906957, 7288.1921649087035
16.650721230815794, 7208.211100957144
20.38277719459752, 6922.382784882551
24.545458706942803, 6478.904753010998
30.000007227848027, 6407.804858323598
35.59809117352063, 5909.700950389003
44.497615171542144, 5717.267297538683
50.23923454198212, 5292.27208375541
57.272730558112734, 5176.7540008862825
63.44498511424698, 4898.869048951858
72.2009640503704, 4827.319825708425
80.52631743793025, 4403.215921419844
86.84211705596259, 4518.060664225058
94.73685453208961, 4197.620420705212
100.76555438919505, 4338.905301890171
106.65071882153313, 4060.936606360794
114.11483074909657, 4166.854015006837
0, 8505.746884371934
