x, y
0.06363260592180135, 240.89629796684687
2.6213723240190245, 162.55801358697627
3.814984192464384, 99.71840193622276
5.0085960609097535, 54.29727970567651
6.031691948148649, 32.91308427846127
8.077883722626419, 15.167063806091244
9.612527553484757, 32.91308427846127
10.124075497104199, 58.32255892463944
11.147171384343086, 97.36939625004746
14.898522970885677, 164.50715818442563
16.94471474536346, 93.94923060957558
18.479358576221784, 51.15593063558932
19.331938482254188, 34.520275062338214
20.184518388286598, 22.20991209281152
21.548646237938453, 13.624286444999921
22.742258106383822, 21.429773967864506
23.253806050003263, 37.07940411253237
23.765353993622707, 64.15756934264535
24.788449880861602, 98.5368996444965
28.539801467404192, 162.55801358697627
31.438573147914365, 79.5103010417585
32.632185016359735, 47.06099171329855
33.48476492239214, 28.86875142991988
35.36044071566345, 13.624286444999921
36.724568565315295, 22.476219051233876
37.577148471347684, 52.39005117625695
38.60024435858659, 93.94923060957558
42.35159594512916, 170.49594304603065
45.76191556925881, 75.80847007932182
46.955527437704156, 39.82825185655851
47.978623324943065, 24.724902489331892
49.51326715580138, 13.952968018080645
50.87739500545324, 23.856423632372877
51.388942949072685, 40.789095752942764
52.24152285510509, 76.7174481520451
53.435134723550455, 129.61536031551395
57.01597032888657, 176.70274604444126
60.42628995301619, 56.948689910634414
61.61990182146156, 31.380720888372856
63.836609577145815, 14.460917487048173
64.8597054643847, 23.57376347490197
65.37125340800416, 44.3382954132757
66.39434929524303, 84.3928162679817
59.23267808457082, 103.34859081389807
70.4867328441986, 187.55358973102602
72.87395658108933, 119.23988718291322
74.23808443074117, 68.91383212439064
75.43169629918656, 38.42925767803809
76.28427620521896, 25.021365327712747
77.30737209245785, 14.987358553121808
79.01253190452267, 27.198560474672504
79.6945958293486, 53.0182317436558
81.05872367900044, 105.84184266540007
84.63955928433654, 194.3813661713778
86.85626704002082, 134.33393011062753
88.04987890846618, 79.5103010417585
89.07297479570505, 46.50339483568578
90.09607068294395, 25.021365327712747
91.80123049500875, 14.987358553121808
93.33587432586711, 31.756990019829225
94.01793825069305, 59.72957209122465
95.04103413793192, 109.69495174633316
99.13341768688746, 199.07075474733753
101.86167338619116, 87.46508635076606
103.05528525463656, 52.39005117625695
103.73734917946246, 32.91308427846127
104.41941310428838, 23.018450680353652
105.78354095394022, 14.987358553121808
107.31818478479858, 29.565200867559582
108.00024870962451, 54.29727970567651
108.85282861565689, 92.83608369671067
110.21695646530877, 162.55801358697627
116.69656375115505, 221.6129887879516
112.774696183406, 206.3178067028674
